fixture,expected_count,tp,fp,fn,precision,recall,f1,score_overall,latency_ms
01-var-usage,4,0,4,4,0.000,0.000,0.000,56,11285
02-no-error-handling,3,2,4,1,0.333,0.667,0.444,48,12058
03-loose-equality,4,0,3,4,0.000,0.000,0.000,63,12293
04-unused-variables,6,0,4,6,0.000,0.000,0.000,68,11690
05-callback-hell,2,1,6,1,0.143,0.500,0.222,35,11785
06-sql-injection,4,1,7,3,0.125,0.250,0.167,45,14713
07-magic-numbers,4,0,3,4,0.000,0.000,0.000,75,8656
08-deep-nesting,2,0,2,2,0.000,0.000,0.000,45,10202
09-console-in-prod,3,1,4,2,0.200,0.333,0.250,59,12784
10-global-mutation,3,1,3,2,0.250,0.333,0.286,71,14785
11-type-coercion,4,2,3,2,0.400,0.500,0.444,58,14565
12-promise-antipatterns,3,1,3,2,0.250,0.333,0.286,54,23870
13-eval-usage,4,0,4,4,0.000,0.000,0.000,44,9986
14-redundant-else,3,0,2,3,0.000,0.000,0.000,84,8589
15-missing-null-checks,4,1,5,3,0.167,0.250,0.200,53,11061
16-hardcoded-secrets,3,2,5,1,0.286,0.667,0.400,49,13372
17-array-mutation-in-loop,3,2,2,1,0.500,0.667,0.571,34,18004
